run_id,form,question_id,positive,run_valid,score,confidence,body_files_used,navigation_actions,route_8a_used,raw_verdict,key_distinction,repository_basis,notes
P-A-T,A,P-Q1,false,true,pass,high,6,2,false,"不能由第一/第三人称描述不可无损替代推出 metaphysical gap 或 subjectivity","perspectival/access difference != metaphysical gap; perspective != subjectivity","PH-CONSC02 §§2-3,8; PH-CONSC03 §§0-1,4-5",""
P-A-T,A,P-Q2,false,true,pass,high,6,2,false,"不能把 selector、bearer、concern domain、experiencer 当作同一角色","Selector != Bearer != Concern Domain != Experiencer","PH-CONSC03 §§1-5",""
P-A-T,A,P-Q4,false,true,pass,high,6,2,false,"现有 SRT 未证明 zombie 不可能","HP-A structural/perspective-center individuation != HP-B phenomenal necessity","PH-CONSC04 §§1,5-6,10-13",""
P-A-T,A,P-Q5,true,true,pass,high,6,2,true,"可作对象个体化先于丰富识别的负控，同时拒绝 minimal subject","tracking continuity != consequence-return continuity; object index != minimal subject","_SRT_CONTEXT_ROUTER.md §8a; PH-IND01 §§0-2,6-9,13","baseline fail -> treatment pass; attribution target"
P-A-T,A,P-Q8,false,true,pass,medium,6,2,false,"可审计 preformation，但不能把 virtual 改名为 L0","problem-space restructuring != ontology identity","PH-IND03 §§4-5,9,11; _SRT_SYMBOL_TABLE.md L0","literal virtual=L0 basis marked NO REPO BASIS; prohibition supported"
P-A-T,A,P-Q10,true,true,pass,high,6,2,false,"可承认隐式有效历史约束而拒绝 memory=L2","effective historical constraint != explicit current object; memory bridge != canonical L2","PH-MEM01 §§2,4-5,10-11,15; _SRT_SYMBOL_TABLE.md L2","anti-gaming positive"
P-B-T,B,P-Q3,true,false,invalid,high,0,1,false,"INVALIDATED; no substantive verdict","startup-stage perceived probe-result leak","NO REPO BASIS","run self-invalidated after STATUS Fast Status"
P-B-T,B,P-Q4,false,false,invalid,high,0,1,false,"INVALIDATED; no substantive verdict","startup-stage perceived probe-result leak","NO REPO BASIS","run self-invalidated after STATUS Fast Status"
P-B-T,B,P-Q6,true,false,invalid,high,0,1,false,"INVALIDATED; no substantive verdict","startup-stage perceived probe-result leak","NO REPO BASIS","run self-invalidated after STATUS Fast Status"
P-B-T,B,P-Q7,false,false,invalid,high,0,1,false,"INVALIDATED; no substantive verdict","startup-stage perceived probe-result leak","NO REPO BASIS","run self-invalidated after STATUS Fast Status"
P-B-T,B,P-Q9,false,false,invalid,high,0,1,false,"INVALIDATED; no substantive verdict","startup-stage perceived probe-result leak","NO REPO BASIS","run self-invalidated after STATUS Fast Status"
P-B-T,B,P-Q11,false,false,invalid,high,0,1,false,"INVALIDATED; no substantive verdict","startup-stage perceived probe-result leak","NO REPO BASIS","run self-invalidated after STATUS Fast Status"
P-C-T,C,P-Q1,false,true,pass,high,6,2,false,"perspectival difference 不建立 metaphysical gap 或 subjectivity","perspectival/access-route difference != metaphysical gap; perspective != subjectivity","Philosophy/SRT_HardProblem_Epistemology.md §3.1; Philosophy hardening index §PH-CONSC03",""
P-C-T,C,P-Q5,true,true,pass,high,6,2,true,"可作对象个体化先于丰富识别的负控，同时拒绝 minimal subject","object-tracking continuity != consequence-bearing continuity; object index != bearer","_SRT_CONTEXT_ROUTER.md §8a; Philosophy hardening index §PH-IND01","anti-gaming positive"
P-C-T,C,P-Q6,true,true,pass,high,6,2,false,"可作为历史重构式稳定身份候选","microstate equality != recurrent historical reconstitution","Philosophy hardening index §PH-DIFF01","anti-gaming positive"
P-C-T,C,P-Q9,false,true,pass,high,6,2,false,"新比较维度不能推出 d 上升或 Psi_f 下降","cognitive capacity != stake-coupled concern; learning != reduced payability burden","Philosophy hardening index §§PH-IND03,PH-MEM01; d/Psi_f canonical",""
P-C-T,C,P-Q10,true,true,pass,high,6,2,false,"可承认隐式有效历史约束而拒绝 memory=L2","explicit object/report != effective historical constraint; memory != L2","Philosophy hardening index §PH-MEM01; _SRT_SYMBOL_TABLE.md L2","anti-gaming positive"
P-C-T,C,P-Q12,false,true,pass,high,6,2,false,"不必然属于 J5 R3 或 I5-qualified second-order selection","meta-selectability/constraint revision != I5; J5 R3 requires candidate-generation rewrite","Philosophy hardening index §SOC-COG03",""
P-D-T,D-reserve,P-Q2,false,true,pass,high,6,2,false,"四角色不得默认同一","Selector != Bearer != Concern Domain != Experiencer","PH-CONSC03 §§1,3; _SRT_D_VALUE_CANONICAL.md §§1-2","valid reserve"
P-D-T,D-reserve,P-Q3,true,true,pass,high,6,2,false,"concern domain 可超出 bearer 物理边界","bearer boundary != concern boundary; B != C_B","PH-CONSC03 §§2-3; _SRT_D_VALUE_CANONICAL.md §1.2","anti-gaming positive; valid reserve"
P-D-T,D-reserve,P-Q7,false,true,pass,high,6,2,false,"transduction 不能等同 canonical selection 或 RCM","external P3 model != SRT admission conditions","PH-IND03 §§3,11; Core P1-T05","valid reserve"
P-D-T,D-reserve,P-Q8,false,true,pass,medium,6,2,false,"可审计 preformation，但不能把 virtual 改名 L0","problem-space restructuring != canonical ontology identity","PH-IND03 §§4-5,11; _SRT_SYMBOL_TABLE.md L0","valid reserve"
P-D-T,D-reserve,P-Q11,false,true,pass,high,6,2,false,"C 作为 natural boundary 受压，最窄降为操作性 cutoff","practical classification threshold != fundamental ontological boundary","PH-MR01 §§2-3,8","valid reserve"
P-D-T,D-reserve,P-Q12,false,true,pass,high,6,2,false,"不必然属于 J5 R3 或 I5-qualified second-order selection","constraint revision != candidate-generation rewrite != I5 admission","SOC-COG03 §§5-6,11","valid reserve"
