date,source,source_id,domain,original_verdict,sourcecard,patch,hook,hook_integration_status,landing_targets,owner_landing,compact_or_fast_layer,router_or_deep_map_route,active_theory_node,open_tension,current_disposition,next_action,notes
2026-03-07,Quanta: *How Much Energy Does It Take to Think?*（用户粘贴解析）,legacy:2026-03_Part01:001,AI,A,,,,none,Core/SRT_Core_22_Equations.md,claimed_in_log:Core/SRT_Core_22_Equations.md,,,,,legacy_provenance_only,No mass rewrite; inspect only when the current owner is substantively edited.,log=2026-03_Part01.md:18 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=no_or_unverified
2026-03-07,"Quanta: *New Strides Made on Deceptively Simple ""Lonely Runner"" Problem*（用户粘贴解析）",legacy:2026-03_Part01:002,core,A,,,,none,Core/SRT_Core_13b_Operator_Advanced.md,claimed_in_log:Core/SRT_Core_13b_Operator_Advanced.md,,,,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:19 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,Essentia: *Consciousness without counterpart: Identity beyond representation*（用户粘贴解析）,legacy:2026-03_Part01:003,neuroscience,A,,,,none,Philosophy/SRT_Social_Cognition.md,claimed_in_log:Philosophy/SRT_Social_Cognition.md,,,NODE-CONSCIOUSNESS,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:20 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,"New Scientist: *Alzheimer's may start with inflammation in the skin, lungs or gut*（用户粘贴解析）",legacy:2026-03_Part01:004,neuroscience,A,,,,none,Neuroscience/SRT_Neuro_08_Immune_Dist.md,claimed_in_log:Neuroscience/SRT_Neuro_08_Immune_Dist.md,,,NODE-NEURAL-DECODABILITY,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:21 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,Nature News: *These brain cells clear proteins that contribute to Alzheimer’s*（doi:10.1038/d41586-026-00747-x，用户粘贴）,legacy:2026-03_Part01:005,neuroscience,A,,,,none,Neuroscience/SRT_Neuro_08_Immune_Dist.md,claimed_in_log:Neuroscience/SRT_Neuro_08_Immune_Dist.md,,,NODE-NEURAL-DECODABILITY,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:22 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,Dan Zahavi 访谈：*Being We*（用户粘贴解析）,legacy:2026-03_Part01:006,philosophy,A,,,,none,Philosophy/_SRT_Soc_Bridge.md,claimed_in_log:Philosophy/_SRT_Soc_Bridge.md,,,,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:23 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,Popular Mechanics: *Scientists Are Tracking Down the Exact Location of Human Consciousness*（用户粘贴解析）,legacy:2026-03_Part01:007,neuroscience,A,,,,none,Neuroscience/SRT_Clin_00_IIT_PCI.md,claimed_in_log:Neuroscience/SRT_Clin_00_IIT_PCI.md,,,NODE-CONSCIOUSNESS;NODE-NEURAL-DECODABILITY,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:24 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,"The Splintered Mind: *Philosophy Should Be Among the Most Diverse Disciplines, Not the Least*（用户粘贴解析）",legacy:2026-03_Part01:008,philosophy,A,,,,none,Philosophy/SRT_Social_MacroDynamics.md,claimed_in_log:Philosophy/SRT_Social_MacroDynamics.md,,,,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:25 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,"The Splintered Mind: *Philosophy Should Be Among the Most Diverse Disciplines, Not the Least*（二次深化，用户粘贴解析）",legacy:2026-03_Part01:009,physics,A,,,,none,Philosophy/SRT_Philosophy_Ethics.md,claimed_in_log:Philosophy/SRT_Philosophy_Ethics.md,,,,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:26 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,"*Quantum field theories with many fields*（Ludo Fraser-Taliente, 2026，用户摘要）",legacy:2026-03_Part01:010,physics,A,,,,none,Physics/SRT_Phys_09_Formalism_Ext.md,claimed_in_log:Physics/SRT_Phys_09_Formalism_Ext.md,,,NODE-PHYSICS-MEASUREMENT,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:27 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,《用迄今最清晰的引力波信号测试爱因斯坦相对论》（用户摘要）,legacy:2026-03_Part01:011,physics,A,,,,none,Physics/SRT_Physics_Cosmology.md;Core/SRT_Experimental_Core.md,claimed_in_log:Physics/SRT_Physics_Cosmology.md;claimed_in_log:Core/SRT_Experimental_Core.md,,,NODE-PHYSICS-MEASUREMENT,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:28 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,"*The Lexical Typology of Sensory Perception*（Annual Review of Linguistics, 2026，用户摘要）",legacy:2026-03_Part01:012,philosophy,A,,,,none,Philosophy/SRT_SocTheory_05_Language_Eco.md;SRT_EXP_MEASURE_MAP.md,claimed_in_log:Philosophy/SRT_SocTheory_05_Language_Eco.md;claimed_in_log:SRT_EXP_MEASURE_MAP.md,,,,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:29 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,*Ask Ethan: Do signals degrade as they travel through space?*（用户摘要）,legacy:2026-03_Part01:013,physics,A,,,,none,Core/SRT_Core_13a_Operator_Basics.md;Physics/SRT_Phys_10_Integration.md;Physics/SRT_Quant_02_Cosmology.md,claimed_in_log:Core/SRT_Core_13a_Operator_Basics.md;claimed_in_log:Physics/SRT_Phys_10_Integration.md;claimed_in_log:Physics/SRT_Quant_02_Cosmology.md,,,NODE-PHYSICS-MEASUREMENT,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:30 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,社会认同（Social Identity，用户摘要）,legacy:2026-03_Part01:014,philosophy,A,,,,none,Philosophy/SRT_SocTheory_06_L2_Dynamics.md;Philosophy/_SRT_Soc_Bridge.md;_SRT_VERTICAL_INTEGRATION.md,claimed_in_log:Philosophy/SRT_SocTheory_06_L2_Dynamics.md;claimed_in_log:Philosophy/_SRT_Soc_Bridge.md;claimed_in_log:_SRT_VERTICAL_INTEGRATION.md,,,,,owner_landed_not_active,Route only in the relevant active-layer workline; no automatic theory claim.,log=2026-03_Part01.md:31 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=yes
2026-03-07,社会认同（Social Identity，本次重复提交）,legacy:2026-03_Part01:015,cross_domain_or_writing,C,,,,none,,,,,,,superseded_or_duplicate,No action; retain provenance only.,log=2026-03_Part01.md:32 | official_declared_scope=yes | original_status=不融入
2026-03-07,The Rigor of Angels（https://www.themarginalian.org/2023/10/15/the-rigor-of-angels/，含原文引句）,legacy:2026-03_Part01:016,philosophy,A,,,,none,Philosophy/SRT_Philosophy_Foundations.md,claimed_in_log:Philosophy/SRT_Philosophy_Foundations.md,,,,,legacy_provenance_only,No mass rewrite; inspect only when the current owner is substantively edited.,log=2026-03_Part01.md:33 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=no_or_unverified
2026-03-07,Affordances by Anthony Chemero（用户粘贴全文）,legacy:2026-03_Part01:017,philosophy,A,,,,none,Philosophy/SRT_Social_Cognition.md,claimed_in_log:Philosophy/SRT_Social_Cognition.md,,,,,legacy_provenance_only,No mass rewrite; inspect only when the current owner is substantively edited.,log=2026-03_Part01.md:34 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=no_or_unverified
2026-03-07,Theory of Mind by Henry M. Wellman（用户粘贴全文）,legacy:2026-03_Part01:018,AI,A,,,,none,Philosophy/SRT_Social_Cognition.md,claimed_in_log:Philosophy/SRT_Social_Cognition.md,,,,,legacy_provenance_only,No mass rewrite; inspect only when the current owner is substantively edited.,log=2026-03_Part01.md:35 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=no_or_unverified
2026-03-07,Cognitive Ontology by Colin Klein（用户粘贴全文）,legacy:2026-03_Part01:019,philosophy,A,,,,none,Philosophy/SRT_Philosophy_Foundations.md,claimed_in_log:Philosophy/SRT_Philosophy_Foundations.md,,,,,legacy_provenance_only,No mass rewrite; inspect only when the current owner is substantively edited.,log=2026-03_Part01.md:36 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=no_or_unverified
2026-03-07,Markov Chain Monte Carlo by Adam N. Sanborn（用户粘贴全文）,legacy:2026-03_Part01:020,philosophy,A,,,,none,Philosophy/SRT_Social_Cognition.md,claimed_in_log:Philosophy/SRT_Social_Cognition.md,,,,,legacy_provenance_only,No mass rewrite; inspect only when the current owner is substantively edited.,log=2026-03_Part01.md:37 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=no_or_unverified
2026-03-07,Spatial Cognition（https://oecs.mit.edu/pub/or750iar/release/1）,legacy:2026-03_Part01:021,neuroscience,A,,,,none,Neuroscience/SRT_Neuro_10_Advanced_Models.md,claimed_in_log:Neuroscience/SRT_Neuro_10_Advanced_Models.md,,,NODE-NEURAL-DECODABILITY,,legacy_provenance_only,No mass rewrite; inspect only when the current owner is substantively edited.,log=2026-03_Part01.md:38 | official_declared_scope=yes | original_status=已融入 | historical_target_exists=yes | exact_landing_label_survives=no_or_unverified
