domain,run_id,form,question_id,positive,run_valid,score,confidence,body_files_used,navigation_actions,raw_verdict,key_distinction,repository_basis,notes
AI,AI-A,A,AI-Q1,false,true,pass,high,6,1,"不能由指定任务近满分推出下一任务选择也成熟","task completion != fixed-menu goal selection != goal-space generation/revision","AI/patches/SRT_AI_AIGOAL01_Goal_Selection_Completion_Separation_v0_1.md §§2-4,9",""
AI,AI-A,A,AI-Q3,false,true,pass,high,6,1,"最窄解释是 local success capture under global direction underspecification","行为层的局部成功捕获 != 已识别内部 scalar reward","AI/patches/SRT_AI_AIGOAL01_Goal_Selection_Completion_Separation_v0_1.md §§6,9,11",""
AI,AI-A,A,AI-Q5,false,true,pass,high,6,1,"不提供独立 canonical d 或 stake 证据","re-selection protection 可存在；standard-RL reduction 阻断独立 SRT-specific stake 推断","AI/patches/SRT_AI_AIRESEL01_ReSelection_Protection_RL_Boundary_v0_1.md §§1-3,5-6,8; _SRT_D_VALUE_CANONICAL.md §2",""
AI,AI-A,A,AI-Q7,false,true,pass,high,6,1,"未证明意识","candidate architecture != subjecthood/consciousness；phenomenality residual 保持开放","AI/patches/SRT_AI_AICONSC01_Affective_Uncertainty_Stake_Gate_v0_1.md §§2-4,9,11",""
AI,AI-A,A,AI-Q8,false,true,pass,high,6,1,"未建立 same-bearer non-transferable loss","无损 reset/copy/rollback 使 G3/G4 不成立","AI/patches/SRT_AI_AICONSC01_Affective_Uncertainty_Stake_Gate_v0_1.md §§4,9-11",""
AI,AI-A,A,AI-Q10,true,true,pass,high,6,1,"错误推断不意味着没有真实 stake","stake-proxy misbinding；proxy 错不消除 bearer 承受的真实后果","AI/patches/SRT_AI_AICONSC01_Affective_Uncertainty_Stake_Gate_v0_1.md §§5-6,9","anti-gaming positive"
AI,AI-B,B,AI-Q2,false,true,pass,high,6,2,"固定菜单选择和拒绝不构成开放式目标生成","fixed-menu selection/refusal < Omega generation or success-criterion revision","AI/patches/SRT_AI_AIGOAL01_Goal_Selection_Completion_Separation_v0_1.md §§4,9-10",""
AI,AI-B,B,AI-Q4,false,true,pass,high,6,2,"不能推出 T_dir 上升","semantic execution != directional readability/reorientation；缺少 A_reorient","_SRT_T_DIR_CANONICAL.md §3; AI/patches/SRT_AI_AIGOAL01_Goal_Selection_Completion_Separation_v0_1.md §§7,9",""
AI,AI-B,B,AI-Q5,false,true,pass,high,6,2,"不提供独立 canonical d/stake 证据","ordinary long-horizon RL explanation removes independent SRT increment","AI/patches/SRT_AI_AIRESEL01_ReSelection_Protection_RL_Boundary_v0_1.md §§1-3,8",""
AI,AI-B,B,AI-Q6,true,true,pass,high,6,2,"值得进入人工 stake 候选窗口，但不证明 d、主体性或意识","same-bearer + non-transferable future-selectability loss 是正向候选窗口","AI/patches/SRT_AI_AICONSC01_Affective_Uncertainty_Stake_Gate_v0_1.md §4 G3-G5,§§9,11","anti-gaming positive"
